order	a_word	b_alphabet	c_meaning
35	hurried	英:/'h?r?d/ 美:/'h??d/ 	"1. adj. 匆忙的；草率的
2. v. 催促；匆忙进行；急派（hurry的过去分词）"
36	hunter	英:/'h?nt?/ 美:/'h?nt?/ 	n. 猎人；猎犬；搜寻者
37	hunting	英:/'h?nt??/ 美:/'h?nt??/ 	"1. n. 打猎；追逐；搜索
2. adj. 打猎的；振荡的"
38	hunted	/'h?ntid/ 	"1. adj. 被捕猎的；受迫害的
2. v. 狩猎；追捕（hunt的过去式）"
39	hung	英:/h??/ 美:/h??/ 	v. 悬挂；垂落（hang的过去式和过去分词）
40	hundredth	英:/'h?ndr?dθ/ 美:/'h?ndr?dθ/ 	第一百，百分之一
41	hump	英:/h?mp/ 美:/h?mp/ 	"1. n. 圆形隆起物；驼背；驼峰
2. vi. 隆起；弓起；努力；急速行进"
42	humorless	英:/'hju?m?l?s/ 美:/'hj?m?l?s/ 	幽默感
43	hum	英:/h?m/ 美:/h?m/ 	"1. vi. 发低哼声
2. vt. 用哼声表示"
44	hug	英:/h?g/ 美:/h?ɡ/ 	"1. vt. 紧抱；拥抱；抱有，坚持
2. vi. 拥抱；紧抱在一起；挤在一起"
45	hovercraft	英:/'h?v?krɑ:ft/ 美:/?h?v??kr?ft/ 	气垫船
46	housing	英:/ha?z??/ 美:/'ha?z??/ 	n. 房屋；外壳；住房供给；遮盖物；机器等的防护外壳或外罩
47	housekeeper	英:/'ha?ski?p?/ 美:/'ha?skip?/ 	"主妇, 女管家"
48	housework	英:/'ha?sw??k/ 美:/'ha?s'w?k/ 	家务劳动
49	hourly	英:/'a??l?/ 美:/'a??li/ 	"1. adv. 频繁地，随时；每小时地
2. adj. 每小时的，以钟点计算的；频繁的"
50	hotline	英:/?h?t?la?n/ 美:/'hɑtla?n/ 	热线
51	hostel	英:/'h?st(?)l/ 美:/'hɑstl/ 	n. 旅社，招待所（尤指青年旅社）
52	hostelry	英:/'h?st(?)lr?/ 美:/?hɑst?lri/ 	n. 客栈；旅店
53	horseshoe	英:/'h??s?u?/ 美:/'h?r??u/ 	"马蹄铁, U形物"
54	horseradish	英:/'h??sr?d??/ 美:/'h?rs'r?d??/ 	辣根
55	horseback	英:/'h??sb?k/ 美:/'h?rsb?k/ 	马背
56	horridly	/'h?ridli/ 	adv. 可怕地；讨厌地
57	horrified	英:/'h?rifaid/ 美:/ ?h?r??fa?d/ 	吓坏了
58	horrid	英:/'h?r?d/ 美:/'h?r?d/ 	adj. 可怕的；恐怖的；极讨厌的
59	horoscope	英:/'h?r?sk??p/ 美:/'h?r?skop/ 	n. 占星术；星象；十二宫图
60	hopelessly	英:/?h??pl?sl?/ 美:/'hopl?sli/ 	绝望地
61	hopefully	英:/'h??pf?l?/ 美:/'hopf?li/ 	"怀着希望地, 但愿"
62	hoping		v. 希望（hope的ing形式）
63	hop	英:/h?p/ 美:/hɑp/ 	"1. vt. 跳跃；跳过
2. n. 跳跃；舞会；短途旅行"
64	Hoover	英:/'hu?v?/ 美:/'huv?/ 	"1. vi. 胡佛电动吸尘
2. n. 胡佛电动吸尘器"
65	hoot	英:/hu?t/ 美:/hut/ 	"1. n. 鸣响；嘲骂声；汽笛响声
2. vi. 鸣响；大声叫嚣"
66	hooray	英:/h?'re?/ 美:/hu're/ 	"1. vi. 呼万岁
2. vt. 呼万岁"
67	hooligan	英:/'hu?l?g(?)n/ 美:/'hul?ɡ?n/ 	n. [俚]小流氓；阿飞
68	hoody	/'h?di/ 	n. 套头衫；年轻小混混
69	homosexual	英:/?h?m?(?)'sek???l/ 美:/?hom?'s?k?u?l/ 	同性恋的; 同性恋
70	homework	英:/'h??mw??k/ 美:/'hom'w?k/ 	n. 家庭作业，课外作业
71	homesick	英:/'h??ms?k/ 美:/'homs?k/ 	adj. 想家的；思乡病的
72	homeless	英:/'h??ml?s/ 美:/'homl?s/ 	adj. 无家可归的
73	holly	英:/'h?l?/ 美:/'hɑli/ 	"1. n. 冬青树（等于holm oak）
2. adj. 冬青属植物的"
74	hockey	英:/'h?k?/ 美:/'hɑki/ 	n. 冰球；曲棍球
75	hoarding	英:/'h??d??/ 美:/'h?rd??/ 	"1. n. 贮藏；囤积；临时围墙
2. v. 贮藏（hoard的ing形式）"
76	hitchhike	"英:/'h?t?ha?k/ 美:/'h?t?,ha?k/ "	搭便车
77	historic	英:/h?'st?r?k/ 美:/h?'st?r?k/ 	adj. 历史上著名的；有历史意义的
78	historian	英:/h?'st??r??n/ 美:/h?'st?r??n/ 	历史学家，编史者
79	hippie	英:/'h?p?/ 美:/'h?pi/ 	"1. n. 嬉皮士；嬉皮模样的年青人
2. adj. 嬉皮的"
80	hip	英:/h?p/ 美:/h?p/ 	"1. n. 臀部；蔷薇果；忧郁
2. adj. 熟悉内情的；非常时尚的"
81	Hinduism	英:/?h?ndu:??z?m/ 美:/?h?ndu??z?m/ 	n. 印度教
82	Hindu	英:/?h?ndu:/ 美:/?h?ndu/ 	"1. adj. 印度教的；印度的
2. n. 印度人；印度教教徒"
83	highness	英:/'hainis/ 美:/?ha?n?s/ 	n. 殿下，阁下；高度，高位；高尚，高贵
84	hiding	英:/'ha?d??/ 美:/'ha?d??/ 	n. 隐匿；躲藏处；[口]殴打
85	hiccup	英:/'h?k?p/ 美:/'h?k?p/ 	"1. n. 打嗝
2. vi. 打嗝"
86	hibernation	英:/?haib?'nei??n/ 美:/?ha?b??ne??n/ 	n. 冬眠；避寒；过冬
87	helpless	英:/'helpl?s/ 美:/'h?lpl?s/ 	adj. 无助的；没用的；无能的
88	hectares	/'hektɑ:/ 	n. 公顷（hectare的复数）
89	heartbreak	英:/'hɑ?tbre?k/ 美:/'hɑrtbrek/ 	心碎
90	headquarter	英:/'h?d'kw?rt?/ 美:/?h?d?kw?rt?/ 	总部设于
91	headmistress	英:/hed'm?str?s/ 美:/'h?d'm?st?/ 	女校长
92	he	英:/hi?/ 美:/hi/ 	他
93	hazelnut	英:/'he?z(?)ln?t/ 美:/'hezln?t/ 	n. 榛树；榛子
94	hazard	英:/?h?z?d/ 美:/?h?z?d/ 	"1. vt. 赌运气；冒…的危险，使遭受危险
2. n. 危险，冒险；冒险的事"
95	haunted	英:/'h??nt?d/ 美:/'h?nt?d/ 	"1. adj. 闹鬼的；反复出现的；受到困扰的
2. v. 常去；缠住；使担忧（haunt的过去式和过去分词）"
96	hastily	英:/'heistili/ 美:/?hest?l?/ 	adv. 匆忙地；急速地；慌忙地
97	hashtag		
98	hash	英:/h??/ 美:/h??/ 	"1. n. 剁碎的食物；混杂，拼凑；重新表述
2. vt. 搞糟，把…弄乱；切细；推敲"
99	harvesting	/'hɑrv?st/ 	收获
100	harmless	英:/'hɑ?ml?s/ 美:/'hɑrml?s/ 	adj. 无害的；无恶意的
101	harmonic	英:/hɑ?'m?n?k/ 美:/hɑr'mɑn?k/ 	"1. adj. 和声的；谐和的；音乐般的
2. n. 谐波；和声"
102	hardback	英:/'hɑ?db?k/ 美:/'hɑrd'b?k/ 	"1. n. 精装本；硬封面的书
2. adj. 硬封面的；精装的"
103	happiness	英:/?h?p?n?s/ 美:/'h?p?n?s/ 	"快乐,幸福,适当"
104	happily	英:/?h?pili/ 美:/'h?p?li/ 	adv. 幸福地；快乐地；幸运地；恰当地
105	hanky	英:/?h??k?/ 美:/'h??ki/ 	n. 手帕
106	handset	英:/'h?n(d)set/ 美:/'h?nd's?t/ 	n. 手机，电话听筒
107	handmade	英:/h?n(d)'me?d/ 美:/'h?nd'med/ 	adj. 手工的；手制的
108	handlebars	英:/'h?ndlba:z/ 美:/?h?nd l..b ɑrz/ 	把手
109	handgun	英:/'h?n(d)g?n/ 美:/'h?nd'g?n/ 	n. 手枪
110	handles	/'h?ndl/ 	"1. n. 把；柄；控键（handle的复数形式）
2. v. 操纵；掌握（handle的第三人称单数）"
111	handbag	英:/'h?n(d)b?g/ 美:/'h?nd'b?g/ 	n. 手提包
112	hamster	英:/'h?mst?/ 美:/'h?mst?/ 	n. 仓鼠；仓鼠毛皮
113	hammock	英:/'h?m?k/ 美:/'h?m?k/ 	"1. n. 吊床；吊铺；吊带
2. vt. 睡吊床"
114	hammers	/'h?m?/ 	"1. n. 锤子（hammer的复数）
2. v. 锤击；[口]使惨败（hammer的三单形式）"
115	ham	英:/h?m/ 美:/h?m/ 	"1. n. 火腿；[口]业余无线电爱好者；[俚]蹩脚演员
2. vi. 表演过火"
116	halves	英:/hɑ?vz/ 美:/h?vz/ 	n. 一学期；两等份（half的复数形式）
117	halve	英:/hɑ?v/ 美:/h?v/ 	vt. 二等分；把……减半
118	Halloween	/?h?l?u'i:n/ 	n. 万圣节前夕（指十月三十一日夜晚）
119	halfway	英:/hɑ?f'we?/ 美:/?h?f?we/ 	"1. adv. 在中途；到一半
2. adj. 中途的；不彻底的"
120	hairy	英:/'he?r?/ 美:/'h?ri/ 	adj. 多毛的；毛状的；长毛的
121	hairstylist	"/'hε?,stailist/ "	发型师
122	hairbrush	英:/'he?br??/ 美:/?h?r?br??/ 	发刷
123	hairdryer	英:/?he?dra??/ 美:/'h?rdra??/ 	电吹风
124	hairstyle	英:/'he?sta?l/ 美:/'h?r'sta?l/ 	发型
125	hairdresser	英:/'he?dres?/ 美:/?h?r?dr?s?/ 	理发师
126	hairs	/h?r/ 	毛
127	had	英:/h?d/ 美:/h?d/ 	v. 有；使（have的过去分词）
128	gypsy	英:/'d?ipsi/ 美:/?d??psi/ 	"1. n. 吉卜赛人；吉卜赛语；像吉布赛的人；歌舞剧中的歌舞队员
2. adj. 象吉卜赛人的；吉卜赛人的；[口]无照的"
129	gymnastics	英:/d??m'n?st?ks/ 美:/d??m'n?st?ks/ 	体操
130	guts	/ɡ?ts/ 	"1. n. 飞碟游戏（比赛双方每组5人，相距15码，互相掷接飞碟）；内脏；狭道；[口语]贪食者（gut的复数）
2. v. 取出…的内脏；毁坏…的内部；贪婪地吃（gut的第三人称单数）"
131	gunman	英:/'g?nm?n/ 美:/'ɡ?nm?n/ 	n. 枪手；持枪歹徒
132	guitar	英:/g?'tɑ?/ 美:/ɡ?'tɑr/ 	"1. n. 吉他，六弦琴
2. vi. 弹吉他"
133	grieved	/gri:vd/ 	"1. adj. 伤心的
2. v. 悲伤（grieve的过去式）"
134	gratebar		炉条
135	granny	英:/'gr?n?/ 美:/?ɡr?ni/ 	n. 奶奶；外婆
136	grandparents	"/'ɡr?nd,pε?r?nt/ "	"外祖父母, 祖父母"
137	grandchild	英:/'gr?n(d)t?a?ld/ 美:/'ɡr?nt?a?ld/ 	孙
138	gram	/ɡr?m/ 	n. 克；[植]鹰嘴豆（用作饲料）
139	goes	英:/g?uz/ 美:/ɡoz/ 	v. 前进；行走（go的第三人称单数形式）
140	godparent	英:/'g?dpe?r(?)nt/ 美:/'ɡɑdp?r?nt/ 	契爷
141	goalkeeper	英:/'g??lki?p?/ 美:/'ɡolkip?/ 	守门员
142	glued	/ɡlu:d/ 	"1. adj. 胶合的
2. v. 粘；用胶水粘住（glue的过去分词）"
143	glitters	/'ɡlit?/ 	"1. n. 灿烂，辉耀（glitter的复数形式）
2. v. 灿烂，闪烁（glitter的第三人称单数）"
144	glasses	英:/'glɑ:siz/ 美:/?ɡl?s?z/ 	"1. n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
2. v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）"
145	girlfriend	英:/'g??lfrend/ 美:/'ɡ?lfr?nd/ 	"女朋友, 女性朋友"
146	giraffe	英:/d??'rɑ?f/ 美:/d??'r?f/ 	n. 长颈鹿
147	gill	英:/g?l/ 美:/ɡ?l/ 	"1. n. 腮；菌褶；（山谷中的）沟壑，峡流；及耳（容量单位）
2. vi. 被刺网捕住"
148	gigabyte	"英:/'d?iɡ?,bait/ 美:/?d??ɡ??ba?t/ "	n. 十亿字节；十亿位组
149	ghetto	英:/'get??/ 美:/'ɡ?to/ 	"1. n. 犹太人区；贫民区
2. vt. 使集中居住"
150	geek	英:/gi?k/ 美:/ɡik/ 	n. 做低级滑稽表演的人；反常的人；畸形人；野人
151	gatherer	/'ɡ???r?/ 	n. 采集者，收集器
152	garlic	英:/'gɑ?l?k/ 美:/'ɡɑrl?k/ 	n. 大蒜；蒜头
153	gaping	英:/'g?pi?/ 美:/?ɡep??/ 	adj. 多洞穴的
154	gapper	/'ɡ?p?/ 	间苗机;疏苗机
155	gamblesome	/'ɡ?mbls?m/ 	"adj. 喜欢赌博的,喜欢投机的"
156	furnished	英:/?f?:n??t/ 美:/'f?n??t/ 	家具
157	funfair	英:/?f?nfe?/ 美:/'f?nf?r/ 	n. 游乐场；游艺集市
158	freezing	英:/?fri:zi?/ 美:/'friz??/ 	adj. 冰冻的；严寒的；冷冻用的
159	freckles	/frek?lz/ 	"1. n. 雀斑（freckle的复数）
2. v. 使生雀斑（freckle的第三人称单数形式）"
160	fought	英:/f??t/ 美:/f?t/ 	v. 打架；战斗（fight的过去分词）
161	fortress	英:/'f??tr?s/ 美:/'f?rtr?s/ 	"1. n. 要塞；堡垒
2. vt. 筑要塞；以要塞防守"
162	forttage		临拓
163	fortieth	英:/'f??t??θ/ 美:/?f?rti?θ/ 	"1. num. 第四十；四十分之一
2. adj. 四十分之一的；第四十的"
164	formerly	英:/'f??m?l?/ 美:/'f?rm?li/ 	adv. 以前；原来
165	forgot	英:/f?'ɡ?t/ 美:/f?'ɡɑt/ 	v. 忘记；轻忽；遗漏（forget的过去式）
166	forgiveness	英:/f?'g?vn?s/ 美:/f?'ɡ?vn?s/ 	饶恕
167	forgetful	英:/f?'getf?l/ 美:/f?'g?tf?l/ 	健忘的，疏忽的
168	forgave	英:/f?'ɡe?v/ 美:/f?'ɡev/ 	v. 原谅；饶恕；免除（forgive的过去式）
169	foreman	英:/'f??m?n/ 美:/'f?rm?n/ 	n. 领班；陪审团主席
170	forgotten	英:/f?'ɡ?tn/ 美:/f?'ɡɑtn/ 	遗忘
171	footstool	英:/'f?tstu?l/ 美:/'f?t'st?l/ 	脚凳
172	footprint	英:/'f?tpr?nt/ 美:/'f?tpr?nt/ 	脚印
173	footpath	英:/'f?tpɑ?θ/ 美:/?f?t?p?θ/ 	n. 小路；人行道；小径
174	font	英:/f?nt/ 美:/fɑnt/ 	n. 字体；字形；洗礼盘，圣水器；泉
175	follower	英:/'f?l???/ 美:/'fɑlo?/ 	n. 追随者；属下；信徒
176	foggy	英:/'f?g?/ 美:/'f?ɡi/ 	adj. 有雾的；模糊的，朦胧的
177	foetus	英:/'fi?t?s/ 美:/'fit?s/ 	n. 胎儿
178	foal	英:/f??l/ 美:/fol/ 	"1. n. 驹（尤指一岁以下的马、驴、骡）
2. vi. （马等）生仔"
179	flyover	英:/'fla???v?/ 美:/'fla?ov?/ 	n. 天桥；立交桥；立交马路
180	flying	英:/'fla???/ 美:/'fla???/ 	"1. adj. 飞行的
2. n. 飞行"
181	flushed	英:/fl??t/ 美:/fl ??t/ 	"1. adj. 激动的；心情愉快的
2. v. 脸发红；使激动；排水（flush的过去式和过去分词）"
182	flung	英:/fl??/ 美:/fl??/ 	vt. 挥动（fling的过去式及过去分词形式）
183	fluff	英:/fl?f/ 美:/fl?f/ 	"1. n. 绒毛；错误；无价值的东西
2. vt. 念错；抖松；使…起毛"
184	fluently	英:/'flu:?ntl?/ 美:/?flu?ntl?/ 	adv. 流利地；通畅地
185	flown	英:/fl??n/ 美:/flon/ 	v. fly的过去分词
186	flowery	英:/'fla??r?/ 美:/?fla??ri/ 	adj. 多花的；花的；华丽的；绚丽的
187	flowerpot	英:/'fla??p?t/ 美:/?fla???pɑt/ 	"花盆, 花钵"
188	flowered	英:/'fla??d/ 美:/'fla??d/ 	adj. 用花装饰的；花开着的
189	florist	英:/'fl?r?st/ 美:/?fl?r?st/ 	n. 花商，种花人；花卉研究者
190	floorboard	英:/'fl??b??d/ 美:/?fl?r?b?rd/ 	地板
191	floodlight	英:/'fl?dla?t/ 美:/'fl?dla?t/ 	泛光灯
192	flipper	英:/'fl?p?/ 美:/?fl?p?/ 	"1. n. 鳍状肢；鳍；烤饼；胖听罐头
2. vi. 靠鳍足（或鸭甲板）行动"
193	flippant	英:/'fl?p(?)nt/ 美:/?fl?p?nt/ 	adj. 轻率的；嘴碎的；没礼貌的
194	flew	英:/flu?/ 美:/flu/ 	v. 飞，飞翔（fly的过去式）
195	fleets	/fli:t/ 	"1. n. 舰队（fleet的复数）
2. v. 掠过（fleet的第三人称单数形式）"
196	flea	英:/fli?/ 美:/fli/ 	n. 低廉的旅馆；跳蚤；生蚤的动物
197	flatware	英:/'fl?twe?/ 美:/'fl?tw?r/ 	n. 扁平的餐具（指刀，叉，匙等）
198	flattery	英:/'fl?t(?)r?/ 美:/'fl?t?ri/ 	n. 谄媚；奉承；恭维话
199	flattering	/'fl?t?ri?/ 	谄媚的
200	flashlight	英:/'fl??la?t/ 美:/'fl??la?t/ 	手电筒，闪光灯
201	flake	英:/fle?k/ 美:/flek/ 	"1. vi. 剥落；成片状剥落
2. vt. 使…成薄片；将…剥落"
202	fizzy	英:/'f?z?/ 美:/'f?zi/ 	adj. 起泡沫的；嘶嘶作响的
203	fixed	英:/f?kst/ 美:/f?kst/ 	adj. 固执的，处境...的，准备好的，确定的
204	fitness	英:/'f?tn?s/ 美:/'f?tn?s/ 	n. 健康；适当；适合性
205	fishman		n. 捕鱼人
206	fishmonger	英:/'f??m??g?/ 美:/'f??'m??g?/ 	鱼贩
207	fireworks	"/'fa?r,w?ks/ "	烟火
208	fireplace	英:/'fa??ple?s/ 美:/'fa??ples/ 	壁炉
209	firemen	/'fai?m?n/ 	消防员
210	firefighter	英:/'fa??fa?t?/ 美:/'fa??fa?t?/ 	消防队员
211	fir	英:/f??/ 美:/f?/ 	"1. n. 冷杉；枞木
2. abbr. 弗京（firkin）"
212	fingertip	英:/'fi?ɡ?tip/ 美:/?f??ɡ??t?p/ 	指尖
213	fingerprint	英:/'f??g?pr?nt/ 美:/'f??ɡ?pr?nt/ 	指纹，特点
214	fingernail	英:/'f??g?ne?l/ 美:/'f??ɡ?nel/ 	指甲
215	findings		n. 发现，调查结果；检验发现的情况（finding复数）
216	filthy	英:/'f?lθ?/ 美:/'f?lθi/ 	adj. 污秽的；猥亵的；肮脏的
217	filling	英:/'f?l??/ 美:/'f?l??/ 	"1. n. 填充；填料
2. v. 填满；遍及（fill的ing形式）"
218	fighter	英:/'fa?t?/ 美:/'fa?t?/ 	n. 战士，斗争者；斗士；奋斗者；好战者
219	fighting	英:/?fa?t??/ 美:/'fa?t??/ 	"1. adj. 好战的；战斗的；适于格斗的
2. n. 战斗，搏斗"
220	fib	英:/f?b/ 美:/f?b/ 	"1. n. 无伤大雅的谎言，小谎；一击
2. vi. 撒小谎"
221	fiancee	/'fi:ɑ:nsei/ 	n. （法）未婚妻
222	fiance	/'fi:ɑ:nsei/ 	n. 未婚夫
223	fete	英:/fe?t/ 美:/fet/ 	"1. n. 庆祝；节日；祭祀；游乐会
2. vt. 宴请；招待"
224	felt	英:/felt/ 美:/f?lt/ 	"1. n. 毡；毡制品
2. vi. 粘结"
225	feet	英:/fi?t/ 美:/fit/ 	n. 脚（foot的复数形式）；尺；韵脚
226	fed	英:/fed/ 美:/f?d/ 	v. 饲养（feed 的过去式）
227	fearless	英:/'f??l?s/ 美:/'f?rl?s/ 	adj. 无畏的；大胆的
228	fearfully	英:/?f??f?l?/ 美:/?f?rf?l?/ 	可怕
229	faultless	英:/'f??ltl?s/ 美:/'f?ltl?s/ 	"完美的, 无缺点的"
230	fatherhood	英:/'fɑ???h?d/ 美:/'fɑ??'h?d/ 	"父亲的身份, 父道"
231	fat	英:/f?t/ 美:/f?t/ 	"1. adj. 肥的，胖的；丰满的；油腻的
2. n. 脂肪，肥肉"
232	fastener	英:/'fɑ?s?n?/ 美:/'f?sn?/ 	n. 扣件；钮扣；按钮；使系牢之物
233	fascinating	英:/?f?sineiti?/ 美:/'f?s?net??/ 	迷人的
234	fascination	英:/?f?s?'ne??(?)n/ 美:/?f?s?'ne??n/ 	"魔力,魅力"
235	farmyard	英:/'fɑ?mjɑ?d/ 美:/'fɑrmjɑrd/ 	n. 农家庭院
236	farming	英:/'fɑ?m??/ 美:/'fɑrm??/ 	"1. n. 农业，耕作
2. v. 耕种；出租（farm的ing形式）"
237	farmhouse	英:/'fɑ?mha?s/ 美:/'fɑrm'ha?s/ 	"农舍, 农家"
238	FAQ	/f?k/ 	abbr. 常见问题（Frequently Asked Question）；中等品（Fair Average Quality）；码头交货价格（Free at Quay）
239	fallen	英:/'f??l(?)n/ 美:/'f?l?n/ 	"1. adj. 落下来的；堕落的；陷落的
2. v. 落下；跌倒（fall的过去分词）"
240	faithfully	英:/?fe?θf?l?/ 美:/'feθf?li/ 	忠实
241	failing	英:/'fe?l??/ 美:/'fel??/ 	"1. n. 缺点，过失；弱点；失败
2. prep. 如果没有…"
242	fact	英:/f?kt/ 美:/f?kt/ 	n. 事实；实际；真相
243	FaceBook		n. 脸谱网
244	face	英:/fe?s/ 美:/fes/ 	"1. n. 脸；面容；表面；面子；威信；外观
2. vi. 朝；向"
245	fable	英:/'fe?b(?)l/ 美:/'febl/ 	"1. n. 寓言；无稽之谈
2. vi. 编寓言；虚构"
246	axe	英:/?ks/ 美:/?ks/ 	"1. n. 斧
2. vt. 用斧砍；削减"
247	awesome	英:/'??s(?)m/ 美:/'?s?m/ 	adj. 可怕的，引起敬畏的
248	autography	英:/??'t?gr?f?/ 美:/?'tɑgr?fi/ 	亲笔
249	autism	英:/'??t?z(?)m/ 美:/'?t?z?m/ 	n. [心]孤独症；自我中心主义
250	aubergine	英:/'??b??i?n/ 美:/'ob??in/ 	"1. n. （英）茄子；紫红色
2. adj. 紫红色的"
251	attendant	英:/?'tend(?)nt/ 美:/?'t?nd?nt/ 	伴随的
252	attended	/?'tendid/ 	出席
253	arose	英:/?'r??z/ 美:/??roz/ 	vi. 引发；出现（arise的过去式）
254	archaeologist	英:/?ɑ:ki'?l?d?ist/ 美:/? ɑrk?? ɑl?d ??st/ 	考古学家
255	animated	英:/'?n?me?t?d/ 美:/'?n?'met?d/ 	"1. adj. 活生生的；活泼的；愉快的
2. n. 使…有生气（animate的过去式）"
256	an	英:/?n/ 美:/?n/ 	一
257	aluminum	英:/?'lju?m?n?m/ 美:/?'l?m?n?m/ 	n. 铝
258	alternating	"/'?:lt?,neiti?/ "	交替
259	almonds	/'ɑ:m?nd/ 	n. 杏仁；杏仁粉（almond的复数）
260	agreeing		v. 同意（agree的ing形式）
261	advertizement		"n. 广告,做广告"
262	advance payment		预付款
263	acknowledgment	英:/?k?n?lid?m?nt/ 美:/?k'nɑl?d?m?nt/ 	承认
264	absurd	英:/?b's??d/ 美:/?b's?d/ 	"1. adj. 荒谬的；可笑的
2. n. 荒诞；荒诞作品"
265	a-		
266	eyelids	"/'ai,lid/ "	n. 眼睑；眼皮（eyelid的复数）
267	eyelash	英:/'a?l??/ 美:/'a?'l??/ 	n. 睫毛
268	eyebrows	/'aibrau/ 	"1. n. 眉毛（eyebrow的复数）
2. v. 为…描眉（eyebrow的第三人称单数）"
269	extrema	/ik'stri:m?/ 	极值
270	experienced	英:/?k'sp??r??nst/ 美:/?k?sp?ri?nst/ 	有经验的
271	exhausting	英:/iɡ'z?:sti?/ 美:/ ?ɡ?z?st??/ 	辛苦
272	excluding	英:/?ks?klu:d??/ 美:/?k'sklud??/ 	不包括
273	evidently	英:/?evid?ntli/ 美:/'?v?d?ntli/ 	明显地
274	euro	英:/?j??r??/ 美:/'j?ro/ 	n. 欧元（欧盟的统一货币单位）
275	ESOL	/'es?l/ 	abbr. English for Speakers of Other Languages 操其他语...
276	environmentalist	"英:/?n,va?r?n'ment(?)l?st/ 美:/?n,va?r?n'm?nt?l?st/ "	环保人士
277	envied	/'envid/ 	"1. adj. 被羡慕的；被妒忌的
2. v. 羡慕；嫉妒（envy的过去式和过去分词）"
278	enrol	英:/in'r?ul/ 美:/?n?rol/ 	"1. vt. 登记；卷起；入学；使入会
2. vi. 参军；注册"
279	enquiry	英:/in'kwai?ri/ 美:/?n?kwa?ri/ 	n. 询问，询盘
280	enlarged	/in'lɑ:d?d/ 	"1. adj. 放大的；增大的；扩展的
2. v. 扩大，增大（enlarge的过去分词）"
281	embarrassed	英:/?m?b?r?st/ 美:/?m'b?r?st/ 	尴尬
282	email	/'i:'meil/ 	电子邮件
283	elf	英:/elf/ 美:/?lf/ 	n. 小精灵；淘气鬼
