a_word,b_alphabet,c_meaning
bless,英:/bles/ 美:/blɛs/ ,vt. 祝福；保佑；赞美
bunch,英:/bʌn(t)ʃ/ 美:/bʌntʃ/ ,"1. n. 串；群；突出物
    2. vi. 隆起；打褶；形成一串"
beer,英:/bɪə/ 美:/bɪr/ ,"1. n. 啤酒
    2. vi. 喝啤酒"
breath,英:/breθ/ 美:/brɛθ/ ,n. 呼吸，气息；一口气，（呼吸的）一次；微风；瞬间，瞬息；迹象；[语]无声音，气音
bunk,英:/bʌŋk/ 美:/bʌŋk/ ,"1. n. 铺位；座床；床铺
    2. vi. 睡在铺上；逃跑"
breathe,英:/briːð/ 美:/brið/ ,"1. vi. 呼吸；低语；松口气；（风）轻拂
    2. vt. 呼吸；流露；使喘息；低声说"
blew,英:/bluː/ 美:/blʊ/ ,blow的过去式
blind,英:/blaɪnd/ 美:/blaɪnd/ ,"1. adj. 瞎的；盲目的
    2. adv. 看不见地；盲目地"
beg,英:/beg/ 美:/bɛɡ/ ,"1. vt. 恳求；乞讨；回避正题
    2. vi. 请求；乞讨"
book,英:/bʊk/ 美:/bʊk/ ,"1. n. 书籍；帐簿；卷；名册；工作簿
    2. vt. 预订；登记"
breed,英:/briːd/ 美:/brid/ ,"1. vi. 繁殖；饲养；产生
    2. vt. 繁殖；饲养；养育，教育；引起"
breeze,英:/briːz/ 美:/briz/ ,"1. n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
    2. vi. 吹微风；逃走"
bald,英:/bɔːld/ 美:/bɔld/ ,"1. adj. 秃顶的；单调的；光秃的；无装饰的
    2. vi. 变秃"
blink,英:/blɪŋk/ 美:/blɪŋk/ ,"1. vt. 眨眼；使…闪烁
    2. vi. 眨眼；闪烁"
bribe,英:/braɪb/ 美:/braɪb/ ,"1. vt. 贿赂，收买
    2. vi. 行贿"
brick,英:/brɪk/ 美:/brɪk/ ,"1. n. 砖，砖块；砖形物；[口]心肠好的人
    2. vt. 用砖砌"
boom,英:/buːm/ 美:/bʊm/ ,"1. vt. 发隆隆声；使兴旺
    2. vi. 发隆隆声；急速发展"
blob,英:/blɒb/ 美:/blɑb/ ,"1. n. 一滴；一抹；难以名状的一团
    2. vt. 弄脏；[美俚]把…做错"
block,英:/blɔk/ 美:/blɑk/ ,"1. n. 块；街区；障碍物；大厦
    2. vt. 阻塞；阻止；限制"
bride,英:/braɪd/ 美:/braɪd/ ,n. 新娘；[英俚]姑娘，女朋友
beige,英:/beɪʒ/ 美:/beʒ/ ,"1. n. 米黄色
    2. adj. 浅褐色的；米黄色的"
boost,英:/buːst/ 美:/bʊst/ ,"1. vt. 促进；增加；支援
    2. vi. 宣扬；偷窃"
boot,英:/buːt/ 美:/bʊt/ ,"1. vt. 使穿靴；引导；踢；解雇
    2. n. 靴子；汽车行李箱；踢"
bridge,英:/brɪdʒ/ 美:/brɪdʒ/ ,"1. n. 桥；桥牌；船桥；桥接器
    2. vt. 渡过；架桥"
brief,英:/briːf/ 美:/brif/ ,"1. adj. 简短的，简洁的；短暂的，草率的
    2. n. 概要，诉书；摘要，简报"
bloke,英:/bləʊk/ 美:/blok/ ,n. [俚]家伙；小子
blood,英:/blʌd/ 美:/blʌd/ ,"1. n. 血，血液；血统
    2. vt. 从…抽血；使先取得经验"
bell,英:/bel/ 美:/bɛl/ ,"1. n. 铃，钟；钟声，铃声；钟状物
    2. vt. 装钟于，系铃于"
ban,英:/bæn/ 美:/bæn/ ,禁令
bore,英:/bɔː/ 美:/bɔr/ ,忍受
band,英:/bænd/ 美:/bænd/ ,"1. n. 带；松紧带；传送带；乐队；一帮
    2. vi. 联合；聚焦"
brim,英:/brɪm/ 美:/brɪm/ ,"1. n. 边；边缘
    2. vi. 满溢；溢出"
born,英:/bɔ:n/ 美:/bɔrn/ ,"1. v. 出世（bear的过去分词）
    2. adj. 天生的"
borne,英:/bɔːn/ 美:/bɔrn/ ,v. 忍受；负荷；结果实；生子女（bear的过去分词）
bring,英:/brɪŋ/ 美:/brɪŋ/ ,vt. 带来；引起；促使；使某人处于某种情况或境地
boss,英:/bɒs/ 美:/bɔs/ ,"1. n. 老板；工头；首领
    2. vt. 指挥，调遣；当…的领导"
belt,英:/belt/ 美:/bɛlt/ ,"1. n. 地带；带；腰带
    2. vt. 用带子系住；用皮带抽打"
bang,英:/bæŋ/ 美:/bæŋ/ ,砰
bloom,英:/bluːm/ 美:/blum/ ,"1. n. 花；青春；旺盛
    2. vt. 使开花；使茂盛"
bench,英:/ben(t)ʃ/ 美:/bɛntʃ/ ,"1. n. 长凳；工作台；替补队员
    2. vt. 给…以席位；为…设置条凳"
brisk,英:/brɪsk/ 美:/brɪsk/ ,"1. adj. 敏锐的，活泼的，轻快的；凛冽的
    2. vi. 活跃起来；变得轻快"
bend,英:/bend/ 美:/bɛnd/ ,"1. vt. 使弯曲；使屈服；使致力；使朝向
    2. vi. 弯曲，转弯；屈服；专心于；倾向"
bank,英:/bæŋk/ 美:/bæŋk/ ,"1. n. 银行；岸；储库；浅滩
    2. vt. 将…存入银行；倾斜转弯"
both,英:/bəʊθ/ 美:/boθ/ ,"1. adj. 两者的；两个的
    2. adv. 又；并；两者皆"
blow,英:/bləʊ/ 美:/blo/ ,"1. n. 吹；殴打；打击
    2. vi. 风吹；喘气"
broad,英:/brɔːd/ 美:/brɔd/ ,"1. adj. 宽的，辽阔的；显著的；大概的
    2. n. 宽阔部分"
bought,英:/bɔːt/ 美:/bɔt/ ,v. 买（buy的过去式和过去分词）
bent,英:/bent/ 美:/bɛnt/ ,"1. n. 爱好，嗜好
    2. adj. 弯曲的；决心的"
bounce,英:/baʊns/ 美:/baʊns/ ,"1. n. 弹力；活力；跳
    2. vt. 弹跳；使弹起"
bound,英:/baʊnd/ 美:/baʊnd/ ,"1. adj. 受约束的；装有封面的；有义务的
    2. vt. 束缚；使跳跃"
bar,英:/bɑː/ 美:/bɑr/ ,"1. n. 酒吧；条，棒；障碍
    2. vt. 禁止；阻拦"
bar code,,
barber,英:/ˈbɑ:bə/ 美:/ˈbɑrbɚ/ ,"1. vt. 为…理发；修整
    2. n. 理发师"
blunt,英:/blʌnt/ 美:/blʌnt/ ,"1. adj. 钝的，不锋利的；生硬的；直率的
    2. vt. 使迟钝"
bow,英:/bəʊ/ 美:/baʊ/ ,"1. n. 弓；鞠躬；船首
    2. vi. 鞠躬；弯腰"
blush,英:/blʌʃ/ 美:/blʌʃ/ ,"1. vi. 脸红；感到惭愧
    2. n. 脸红；红色；羞愧"
bare,英:/beə/ 美:/bɛr/ ,"1. adj. 空的；赤裸的，无遮蔽的
    2. vt. 露出，使赤裸"
bronze,英:/brɒnz/ 美:/brɑnz/ ,"1. n. 青铜；青铜制品；古铜色
    2. adj. 青铜色的；青铜制的"
best,英:/best/ 美:/bɛst/ ,"1. n. 最好的人，最好的事物；最佳状态
    2. adj. 最好的"
brooch,英:/brəʊtʃ/ 美:/brotʃ/ ,n. （女用的）胸针，领针
bowl,英:/bəʊl/ 美:/bol/ ,"1. n. 碗；木球；大酒杯
    2. vi. 玩保龄球；滑动；平稳快速移动"
barge,英:/bɑːdʒ/ 美:/bɑrdʒ/ ,"1. vi. 蹒跚；闯入
    2. n. 驳船；游艇"
broom,英:/bruːm/ 美:/brum/ ,"1. n. 金雀花；扫帚
    2. vt. 扫除"
bet,英:/bet/ 美:/bɛt/ ,"1. n. 打赌，赌注；被打赌的事物
    2. vt. 打赌；敢断定，确信"
bark,英:/bɑːk/ 美:/bɑrk/ ,"1. vt. 咆哮；吠叫；[口]咳嗽
    2. vi. 厉声说出；高声叫卖"
box,英:/bɒks/ 美:/bɑks/ ,"1. n. 箱，盒子；包厢；一拳
    2. vi. 拳击"
barn,英:/bɑːn/ 美:/bɑrn/ ,"1. n. 谷仓；车库；畜棚；靶（核反应截面单位）
    2. vt. 把…贮存入仓"
brow,英:/braʊ/ 美:/braʊ/ ,n. 眉，眉毛；表情；额
brown,英:/braun/ 美:/braʊn/ ,"1. adj. 棕色的，褐色的；太阳晒黑的
    2. vi. 变成褐色"
bruise,英:/bruːz/ 美:/bruz/ ,"1. n. 擦伤；挫伤；青肿
    2. vt. 使受瘀伤；使受挫伤"
brush,英:/brʌʃ/ 美:/brʌʃ/ ,"1. n. 刷子；画笔；毛笔；争吵
    2. vt. 刷；画"
base,英:/beɪs/ 美:/bes/ ,"1. n. 底部；垒；基础
    2. adj. 卑鄙的；低劣的"
bass,英:/bæs/ 美:/bæs/ ,"1. n. [音]男低音；低音部；[鱼]鲈鱼；[植]椴树
    2. adj. 低音的"
bat,英:/bæt/ 美:/bæt/ ,"1. n. 蝙蝠；球棒；批处理文件的扩展名
    2. vt. 用球棒击球；击球率达…"
batch,英:/bætʃ/ 美:/bætʃ/ ,"1. n. 一批；一炉；一次所制之量
    2. vt. 分批处理"
bathe,英:/beɪð/ 美:/beð/ ,"1. vt. 沐浴；用水洗
    2. vi. 洗澡；沐浴"
bay,英:/beɪ/ 美:/be/ ,"1. n. 海湾；狗吠声
    2. vt. 向…吠叫"
big,英:/bɪg/ 美:/bɪɡ/ ,"1. adj. 大的；重要的；量大的
    2. adv. 大量地；夸大地；顺利"
bike,英:/baɪk/ 美:/baɪk/ ,"1. n. 自行车；脚踏车
    2. vi. 骑自行车（或摩托车）"
bill,英:/bɪl/ 美:/bɪl/ ,"1. n. 帐单；法案；广告；钞票；票据；清单
    2. vt. 宣布；开帐单；用海报宣传"
bind,英:/baɪnd/ 美:/baɪnd/ ,"1. vi. 装订；结合；过紧；有约束力
    2. vt. 装订；约束；绑；包扎；凝固"
bird,英:/bɜːd/ 美:/bɝd/ ,"1. n. 鸟；家伙；羽毛球
    2. vt. 向…喝倒彩；起哄"
birth,英:/bɜːθ/ 美:/bɝθ/ ,n. 出生；血统，出身；起源
bit,英:/bɪt/ 美:/bɪt/ ,"1. n. 少量；马嚼子；比特（二进位制信息单位）；辅币；[口]老一套
    2. vt. 控制"
bite,英:/baɪt/ 美:/baɪt/ ,咬
bid,英:/bɪd/ 美:/bɪd/ ,"1. vt. 投标；出价；吩咐；表示
    2. vi. 投标；吩咐"
bead,英:/biːd/ 美:/bid/ ,"1. n. 珠子；念珠；滴
    2. vi. 形成珠状，起泡"
bin,英:/bɪn/ 美:/bɪn/ ,箱柜
blonde,英:/blɒnd/ 美:/blɑnd/ ,"1. adj. 亚麻色的；白皙的；白肤金发碧眼的
    2. n. 白肤金发碧眼的女人"
blur,英:/blɜː/ 美:/blɝ/ ,"1. vt. 涂污；使…模糊不清；使暗淡；玷污
    2. vi. 沾上污迹；变模糊"
prey,英:/preɪ/ 美:/pre/ ,"1. vi. 捕食；掠夺；折磨
    2. n. 牺牲者；被捕食的动物；捕食"
MB,/ˏem ˈbiː/,abbr. 兆位（mega byte）
MBE,/ˏem biː ˈiː/,abbr. 英帝国勋章获得者（Member of the British Empire）；商业经济学硕士（Master of Business Economics）；商务教育学硕士（Master of Business Education）
MCP,/ˏem siː ˈpiː/,abbr. 磁罗经导航（Magnetic Compass Pilot）；主控程序（Master Control Program）
MDT,/ˏem diː ˈtiː/,abbr. 平均空闲时间（mean down time）；（美国）山区时区
me,英:/miː/ 美:/mi/,我
mead,/miːd/,n. 蜂蜜酒；[诗]草地
meal,英:/miːl/ 美:/mil/,"1. n. 一餐，一顿饭；膳食
    2. vi. 进餐"
Greenwich mean time,/ˏgrenɪdʒ ˈmiːn taɪm/,格林威治标准时间（等于GMT）
mean,英:/miːn/ 美:/min/,"1. adj. 低劣的；平均的；卑鄙的
    2. vt. 意欲；想要；意味"
means,英:/miːnz/ 美:/minz/,"1. n. 方法；手段；财产（mean的复数）
    2. v. 意思是；打算（mean的第三人称单数）"
means test,英:/ˈmi:nzˌtest/ 美:/ˈminzˌtɛst/,经济情况调查（对申请补助者的）
meant,英:/ment/ 美:/mɛnt/,v. 表示…的意思；意味；打算（mean的过去式和过去分词）
meat,英:/miːt/ 美:/mit/,n. 肉，肉类（食用）
Mecca,英:/ˈmekə/ 美:/ˈmɛkə/,n. 麦加（沙特阿拉伯一座城市）；众人渴望去的地方
MED,英:/med/ 美:/mɛd/,abbr. 基础教学法硕士（Master of Elementary Didactics）
HB,/ˏeɪtʃ ˈbiː/,abbr. [军] 厚膛壁身管（Heavy Barrel）
he,英:/hiː/ 美:/hi/,他
glace,/ɡlæs/,adj. 糖渍的；冰冻的
he,英:/hiː/ 美:/hi/,他
FT,/ˏef ˈtiː/,abbr. 金融时报（Financial Times）；飞行试验（Flight Test）；机能试验（Functional Test）
GPO,/ˏdʒiː piː ˈəu/,abbr. （英国）邮政总局（general post office）；（美国）政府印刷局（Government Printing Office）
GC,/ˏdʒiː ˈsiː/,abbr. [物]千兆周（gigacycle）；车底距地高（Ground Clearance）；制导计算机（Guidance Computer）
gnarled,英:/nɑːld/ 美:/nɑrld/,"1. adj. 多瘤的；多节的；粗糙的
    2. v. 把…扭曲；长木瘤（gnarl的过去分词）"
gab,英:/gæb/ 美:/ɡæb/,"1. vi. 空谈；瞎扯闲聊；唠叨
    2. n. 多嘴；饶舌；爱说话唠叨"
FPA,/ˏef piː ˈeɪ/,abbr. 外国报业协会（Foreign Press Association）；（美国）外交政策协会（Foreign Policy Association）；（英国）家庭计划协会（Family Planning Association）
gnash,英:/næʃ/ 美:/næʃ/,"1. vt. 咬牙切齿
    2. vi. 咬牙切齿"
fuck,英:/fʌk/ 美:/fʌk/,"性交, 杂种"
hell,英:/hel/ 美:/hɛl/,"1. n. 地狱；训斥；黑暗势力；究竟（作加强语气词）
    2. vi. 过放荡生活；飞驰"
glad,英:/glæd/ 美:/ɡlæd/,"1. adj. 高兴的；乐意的；令人高兴的；灿烂美丽的
    2. vt. [古]使高兴"
medicare,英:/ˈmedɪˌkeə/ 美:/ˈmɛdɪˌkɛr/,n. （美、加）医疗保险（等于medicare）
gnat,英:/næt/ 美:/næt/,n. 小昆虫；小烦扰
gnaw,英:/nɔː/ 美:/nɔ/,"1. vt. 咬；折磨；侵蚀
    2. vi. 咬；折磨；侵蚀"
head,英:/hed/ 美:/hɛd/,"1. n. 头；上端；最前的部分；头痛；理解力
    2. vt. 用头顶；作为…的首领；前进；站在…的前头；给…加标题"
grab,英:/græb/ 美:/ɡræb/,"1. vt. 攫取；霸占；将…深深吸引
    2. vi. 攫取；夺取"
gneiss,英:/naɪs/ 美:/naɪs/,n. [地质]片麻岩
gad,英:/gæd/ 美:/ɡæd/,"1. n. 錾；游荡；尖头棒
    2. vi. 游荡；闲逛；蔓延"
gear,英:/gɪə/ 美:/ɡɪr/,"1. n. 齿轮；传动装置；装置，工具
2. vi. 适合；搭上齿轮；开始工作"
fudge,英:/fʌdʒ/ 美:/fʌdʒ/,"1. n. 软糖；胡说；谎话
2. vt. 捏造；粗制滥造；回避"
grace,英:/greɪs/ 美:/ɡres/,"1. n. 优雅；恩惠；慈悲；魅力
2. vt. 使优美"
glade,英:/gleɪd/ 美:/ɡled/,n. 林间空地；沼泽地
gnu,英:/(g)nuː/ 美:/nu/,n. 角马；牛羚
fug,英:/fʌg/ 美:/fʌɡ/,"1. vi. 呆在闷室中
2. vt. 使室内空气恶浊"
go,英:/gəʊ/ 美:/ɡo/,"1. vi. 走；趋于；达到；运转
2. n. 去；尝试；进行"
gaff,英:/gæf/ 美:/ɡæf/,"1. n. 鱼叉；斜桁；[英俚]低级娱乐场所
2. vt. 用鱼叉捉；用鱼钩拖上来；[俚]欺骗"
gee,英:/dʒiː/ 美:/dʒi/,"1. int. 向右！前进！快！（驾驭马牛等的吆喝声）
2. n. 马；字母G；一千美元（美俚）"
fugue,英:/fjuːg/ 美:/fjuɡ/,"1. n. [音]赋格曲；[病]神游症
2. vi. 作赋格曲"
gaffe,英:/gæf/ 美:/ɡæf/,n. 失态；过失
geese,英:/ɡiːs/ 美:/ɡis/,n. 鹅（goose复数）
ex,英:/eks/ 美:/ɛks/,"1. prep. 不包括，除外
2. n. 前妻或前夫"
er,/ə:/,呃
mediterranean,英:/ˌmedɪtəˈreɪni:ən/ 美:/ˌmɛdɪtəˈreniən/,地中海; 地中海
em,英:/em/ 美:/ɛm/,"1. n. [印刷]西文排版行长单位
2. adj. 全身长的"
grade,英:/greɪd/ 美:/ɡred/,"1. n. 等级；年级；阶段；级别；成绩
2. vt. 评分；把…分等级"
Geiger counter,英:/ˈgaɪgə/ 美:/ˈɡaɪɡɚ/,n. 盖革计数器（用于测量放射性）
gag,英:/gæg/ 美:/gæg/,"1. vt. 塞住…的口；钳制…的言论；使窒息
2. vi. 窒息；作呕；插科打诨"
er,/ə:/,呃
glance,英:/glɑːns/ 美:/ɡlæns/,"1. n. 一瞥；一滑；闪光
2. vi. 扫视，匆匆一看；瞥闪，瞥见；反光"
ebb,英:/eb/ 美:/ɛb/,"1. n. 退潮；衰退；衰落
2. vi. 衰退；衰落；潮退；减少"
en,英:/en/ 美:/ɪn/,字，半方
DSC,/ˏdiː es ˈsiː/,abbr. 国防与航天中心（Defense and Space Center）；动态稳定控制系统（Dynamic Stability Control）
dg,/ˏdiː ˈdʒiː/,微分增益
gel,英:/dʒel/ 美:/dʒɛl/,"1. vi. 胶化
2. n. 凝胶，胶体"
ex officio,/ˏeks əˈfɪʃɪəu/,依据职权；按照职务的
gage,/geɪdʒ/,"1. vt. 以…为担保；以…为赌注
2. n. 挑战；抵押品；计量器"
DSO,/ˏdiː es ˈəu/,abbr. 优异服务勋章（Distinguished Service Order）；直接装运指示（Direct Shipment Order）；区参谋（District Staff Officer）；设计停止指示（Design Stop Order）
gland,英:/glænd/ 美:/ɡlænd/,n. [解]腺
CSE,/ˏsiː es ˈiː/,abbr. （英国）中等教育证书（Certificate of Secondary Education）
